Distnict,City
West Wellega,"Mana Sibu, Oromia, Ethiopia"
West Wellega,"Nejo, Oromia, Ethiopia"
West Wellega,"Gimbi, Oromia, Ethiopia"
West Wellega,"Lalo Asabi, Oromia, Ethiopia"
West Wellega,"Kiltu Kara, Oromia, Ethiopia"
West Wellega,"Boji Dirmeji, Oromia, Ethiopia"
West Wellega,"Ayira, Oromia, Ethiopia"
West Wellega,"Jarso (West Wellega), Oromia, Ethiopia"
West Wellega,"Gudetu Kondole, Oromia, Ethiopia"
West Wellega,"Boji Chekorsa, Oromia, Ethiopia"
West Wellega,"Babo, Oromia, Ethiopia"
West Wellega,"Yubdo, Oromia, Ethiopia"
West Wellega,"Gaji, Oromia, Ethiopia"
West Wellega,"Haru, Oromia, Ethiopia"
West Wellega,"Nole Kaba, Oromia, Ethiopia"
West Wellega,"Begi, Oromia, Ethiopia"
West Wellega,"Homa, Ethiopia"
West Wellega,"Sayo Nole, Oromia, Ethiopia"
West Wellega,"Guliso, Oromia, Ethiopia"
West Wellega,"Gimbi town, Oromia, Ethiopia"
West Wellega,"Leta Sibu, Oromia, Ethiopia"
West Wellega,"Mendi town, Oromia, Ethiopia"
West Wellega,"Nejo town, Oromia, Ethiopia"
East Wellega,"Limu (OR), Oromia, Ethiopia"
East Wellega,"Ibantu, Oromia, Ethiopia"
East Wellega,"Gida Ayana, Oromia, Ethiopia"
East Wellega,"Haro Limu, Oromia, Ethiopia"
East Wellega,"Boneya Boshe, Oromia, Ethiopia"
East Wellega,"Wayu Tuka, Oromia, Ethiopia"
East Wellega,"Bila Seyo, Oromia, Ethiopia"
East Wellega,"Gobu Seyo, Oromia, Ethiopia"
East Wellega,"Sibu Sire, Oromia, Ethiopia"
East Wellega,"Diga, Oromia, Ethiopia"
East Wellega,"Sasiga, Oromia, Ethiopia"
East Wellega,"Leka Dulecha, Oromia, Ethiopia"
East Wellega,"Guto Gida, Oromia, Ethiopia"
East Wellega,"Jimma Arjo, Oromia, Ethiopia"
East Wellega,"Nunu Kumba, Oromia, Ethiopia"
East Wellega,"Wama Hagalo, Oromia, Ethiopia"
East Wellega,"Kiremu, Oromia, Ethiopia"
East Wellega,"Nekemte town, Oromia, Ethiopia"
Ilu Aba Bora,"Darimu, Oromia, Ethiopia"
Ilu Aba Bora,"Alge Sachi, Oromia, Ethiopia"
Ilu Aba Bora,"Yayu, Oromia, Ethiopia"
Ilu Aba Bora,"Metu Zuria, Oromia, Ethiopia"
Ilu Aba Bora,"Ale, Oromia, Ethiopia"
Ilu Aba Bora,"Bure (OR), Oromia, Ethiopia"
Ilu Aba Bora,"Sale Nono, Oromia, Ethiopia"
Ilu Aba Bora,"Becho (Ilu Aba Bora), Oromia, Ethiopia"
Ilu Aba Bora,"Bilo Nopha, Oromia, Ethiopia"
Ilu Aba Bora,"Hurumu, Oromia, Ethiopia"
Ilu Aba Bora,"Didu, Oromia, Ethiopia"
Ilu Aba Bora,"Halu /Huka, Oromia, Ethiopia"
Ilu Aba Bora,"Metu town, Oromia, Ethiopia"
Ilu Aba Bora,"Dorani, Oromia, Ethiopia"
Jimma,"Limu Seka, Oromia, Ethiopia"
Jimma,"Limu Kosa, Oromia, Ethiopia"
Jimma,"Sekoru, Oromia, Ethiopia"
Jimma,"Tiro Afeta, Oromia, Ethiopia"
Jimma,"Kersa (Jimma), Oromia, Ethiopia"
Jimma,"Mena (Jimma), Oromia, Ethiopia"
Jimma,"Goma, Oromia, Ethiopia"
Jimma,"Gera, Oromia, Ethiopia"
Jimma,"Seka Chekorsa, Oromia, Ethiopia"
Jimma,"Dedo, Oromia, Ethiopia"
Jimma,"Omo Nada, Oromia, Ethiopia"
Jimma,"Sigmo, Oromia, Ethiopia"
Jimma,"Setema, Oromia, Ethiopia"
Jimma,"Shebe Sambo, Oromia, Ethiopia"
Jimma,"Chora (Jimma), Oromia, Ethiopia"
Jimma,"Gumay, Oromia, Ethiopia"
Jimma,"Agaro town, Oromia, Ethiopia"
Jimma,"Jimma town, Oromia, Ethiopia"
Jimma,"Mancho, Oromia, Ethiopia"
Jimma,"Omo Beyam, Oromia, Ethiopia"
Jimma,"Botor Tolay, Oromia, Ethiopia"
Jimma,"Nono Benja, Oromia, Ethiopia"
West Shewa,"Illu Galan, Oromia, Ethiopia"
West Shewa,"Ginde Beret, Oromia, Ethiopia"
West Shewa,"Jeldu, Oromia, Ethiopia"
West Shewa,"Ambo Zuria, Oromia, Ethiopia"
West Shewa,"Mida Kegn, Oromia, Ethiopia"
West Shewa,"Cheliya, Oromia, Ethiopia"
West Shewa,"Bako Tibe, Oromia, Ethiopia"
West Shewa,"Dano, Oromia, Ethiopia"
West Shewa,"Nono, Oromia, Ethiopia"
West Shewa,"Tikur Enchini, Oromia, Ethiopia"
West Shewa,"Dendi, Oromia, Ethiopia"
